train/entropy_loss,time/iterations,time/total_timesteps,train/policy_loss,train/explained_variance,time/time_elapsed,train/value_loss,train/learning_rate,time/fps,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
-2.1872856616973877,4,20,-0.5181252360343933,-0.6031123399734497,2,0.05389488860964775,0.0007,7,3,,
-0.32147103548049927,8,40,-0.026098966598510742,0.8711027801036835,3,0.1495400369167328,0.0007,11,7,,
-2.19169545173645,12,60,0.013622301630675793,-0.974055290222168,4,7.038649346213788e-05,0.0007,14,11,,
-2.1930429935455322,16,80,0.00018543079204391688,-10590.5361328125,4,1.9620874809334055e-05,0.0007,16,15,,
-2.1950902938842773,20,100,0.0022492900025099516,0.03867858648300171,5,1.2786456409230595e-06,0.0007,18,19,,
-2.1950082778930664,24,120,0.0005290905828587711,0.0,5,7.285279934876598e-08,0.0007,20,23,,
-2.1950271129608154,28,140,-0.0002170641382690519,-45.61317443847656,6,2.873506232958789e-08,0.0007,21,27,,
-2.1950595378875732,32,160,5.4912990890443325e-05,0.0,6,7.67087005026923e-10,0.0007,23,31,,
-2.1955084800720215,36,180,6.97667110216571e-06,0.37084251642227173,7,2.5318064089674408e-08,0.0007,24,35,,
-2.1955819129943848,40,200,0.00044843097566626966,0.0,7,5.0267885853827465e-08,0.0007,25,39,,
-2.1956584453582764,44,220,0.00016472989227622747,-1.1920928955078125e-07,8,6.656039719388218e-09,0.0007,26,43,,
-2.1956558227539062,48,240,5.506675734068267e-05,1.1920928955078125e-07,9,7.371098176278679e-10,0.0007,26,47,,
-2.195655345916748,52,260,2.44219736487139e-05,0.0,9,1.5084858362435227e-10,0.0007,26,51,,
-2.195483446121216,56,280,-0.0032426074612885714,-16.797090530395508,10,2.9232464839878958e-06,0.0007,27,55,,
-2.1957027912139893,60,300,-0.01053706742823124,-22.5421142578125,10,2.2496507881442085e-05,0.0007,28,59,,
-2.195692300796509,64,320,0.001261314144358039,-1148.9798583984375,11,1.4855398148938548e-05,0.0007,28,63,,
-2.1959526538848877,68,340,-3.507247311063111e-05,0.0,11,3.2092109525372337e-10,0.0007,29,67,,
-2.1959519386291504,72,360,-8.801466719887685e-06,0.0,12,2.003526858307403e-11,0.0007,29,71,,
-2.195827007293701,76,380,0.0031296364031732082,-1178.623779296875,12,5.368607162381522e-06,0.0007,29,75,,
-2.1962554454803467,80,400,-0.0007691812352277339,-80.7920913696289,13,2.453370484545303e-07,0.0007,29,79,,
-2.1960535049438477,84,420,0.00595487654209137,-74.51435852050781,13,9.196911378239747e-06,0.0007,30,83,,
-2.195716381072998,88,440,0.012546254321932793,0.0,14,3.2207124604610726e-05,0.0007,30,87,,
-2.1963977813720703,92,460,-0.005818404257297516,-19.31264305114746,14,1.274513215321349e-05,0.0007,30,91,,
-2.1963553428649902,96,480,-0.0024529127404093742,-158.96231079101562,15,3.945740900235251e-06,0.0007,31,95,,
-2.195923328399658,100,500,0.0068457527086138725,-228.58177185058594,15,1.2679354767897166e-05,0.0007,31,99,,
-2.196366786956787,104,520,-0.0033893834333866835,-39.41640090942383,16,2.4755127014941536e-06,0.0007,31,103,,
-2.19616961479187,108,540,-0.0012929739896208048,-134.24107360839844,17,4.9473792387288995e-06,0.0007,31,107,,
-2.196321725845337,112,560,0.002213791711255908,-164524.25,17,4.561834884952987e-06,0.0007,31,111,,
-2.196284770965576,116,580,-0.005127036478370428,-377.0333557128906,18,6.4032401496660896e-06,0.0007,31,115,,
-2.196221351623535,120,600,-0.016351547092199326,-91.45922088623047,18,5.997585685690865e-05,0.0007,32,119,,
-2.196730375289917,124,620,0.004424280021339655,-2737.269775390625,19,5.0525268306955695e-06,0.0007,32,123,,
-2.196847438812256,128,640,0.0008988540503196418,-6.459826469421387,19,2.139984900395575e-07,0.0007,32,127,,
-2.19679856300354,132,660,0.0016273738583549857,-924.189697265625,20,1.4940276287234155e-06,0.0007,32,131,,
-2.1967859268188477,136,680,3.061109237023629e-05,-219.35935974121094,20,2.174691715595145e-08,0.0007,32,135,,
-2.196645975112915,140,700,-0.0025426591746509075,-249.3957977294922,21,1.4288543752627447e-06,0.0007,32,139,,
-2.196773052215576,144,720,-0.0002056711382465437,-210.81021118164062,21,9.541298595650005e-07,0.0007,32,143,,
-2.1964988708496094,148,740,-0.0004815944121219218,0.0,22,1.250326704393956e-07,0.0007,32,147,,
-2.1959662437438965,152,760,0.004912758246064186,-4.810108661651611,22,5.721205525333062e-06,0.0007,33,151,,
-2.1958160400390625,156,780,-0.01454384345561266,-204.37982177734375,23,8.909685129765421e-05,0.0007,33,155,,
-2.1947858333587646,160,800,-0.004816325381398201,-32.82382583618164,23,1.4367015864991117e-05,0.0007,33,159,,
-2.19415283203125,164,820,-0.02634221315383911,-9.997304916381836,25,0.0001941413211170584,0.0007,31,163,,
-2.1962363719940186,168,840,-0.018339142203330994,-34.32853698730469,26,0.00010940460197161883,0.0007,31,167,,
-2.1966023445129395,172,860,-0.00157307053450495,-4.775680065155029,26,7.787026561345556e-07,0.0007,32,171,,
-2.196558713912964,176,880,0.00527831120416522,-115.84671020507812,27,1.0362428838561755e-05,0.0007,32,175,,
-2.1965115070343018,180,900,0.002954974304884672,-150.31314086914062,27,7.151921636250336e-06,0.0007,32,179,,
-2.196579694747925,184,920,0.019701233133673668,-134.53823852539062,29,0.00011604571773204952,0.0007,31,183,,
-2.196315288543701,188,940,0.0006049957009963691,-6385.75244140625,29,4.310770691517973e-06,0.0007,31,187,,
